"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-01",,"65","72","61"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-02","0.16","65","75",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-03","0.00","66","80","54"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-04","0.00","68","78","60"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-05","0.00","67","80","57"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-06",,"67","82","59"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-07","0.00","69","75","65"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-08","0.00","70","78","63"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-09","0.00","68","74",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-10","0.00","69",,"59"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-11","0.00","68","80","58"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-12","0.00","66","79","58"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-13","0.00","67","79","58"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-14","0.00","68",,"57"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-15","0.00","71","83","59"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-16","0.04","67","77","52"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-17","0.00","63","76",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-18","0.00","63","76",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-19","0.00","65","78","51"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-20","0.00","65","78",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-21","0.00","65",,
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-22","0.00","70","83","56"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-23","0.00","69","79","59"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-24","0.00","67","79",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-25","0.00","67",,"57"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-26","0.00","67","80","55"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-27","0.00","69","83","54"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-28","0.00","72","85","60"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-29","0.00","73","84","63"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-30","0.00","74","85","63"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-01-31","0.00","74","85","63"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-02-01","0.00","69","75",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-02-02","0.00","69","82","59"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-02-03","0.00","69","83","57"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-02-04","0.00","68","82",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-02-05","0.00","77","86","57"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-02-06","0.00","74","87",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-02-07","0.00","67","80",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-02-08","0.00","67","82","54"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-02-09","0.00","69","86","53"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-02-10","0.00","75","87","58"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-02-11","0.00","74","85","61"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-02-12","0.00","74","85","67"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-02-13","0.00","74","86","65"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-02-14",,"70","78",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-02-15","0.24","66","71",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-02-16","0.00","67","77","60"
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-02-17","0.00","69","84",
"IN024141500","CALCUTTA DUM DUM, IN","22.65","88.45","6.0","1985-02-18","0.00","69","84","56"
